ad_id,objective,publisher_platform,age,gender,metric,estimated,original,delta,pct_change
120219464067020404,CONVERSIONS,audience_network,18-24,female,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,female,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,female,spend,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,male,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,male,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,male,spend,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,unknown,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,unknown,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,unknown,spend,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,18-24,,spend,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,female,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,female,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,female,spend,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,male,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,male,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,male,spend,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,unknown,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,unknown,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,unknown,spend,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,,clicks,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,,impressions,0.0,0.0,0.0,
120219464067020404,CONVERSIONS,audience_network,25-34,,spend,0.0,0.0,0.0,
