ad_id,objective,publisher_platform,age,gender,action_type,stat,amount
23849835339810403,CONVERSIONS,audience_network,,,video_view,7d_click,0.0
23849835339810403,CONVERSIONS,audience_network,,,video_view,value,0.0
23849835339810403,CONVERSIONS,facebook,,,video_view,7d_click,0.0
23849835339810403,CONVERSIONS,facebook,,,video_view,value,0.0
23849835339810403,CONVERSIONS,instagram,,,video_view,7d_click,0.0
23849835339810403,CONVERSIONS,instagram,,,video_view,value,0.0
23849835339810403,,,18-24,female,video_view,7d_click,0.0
23849835339810403,,,18-24,female,video_view,value,0.0
23849835339810403,,,18-24,male,video_view,7d_click,0.0
23849835339810403,,,18-24,male,video_view,value,0.0
23849835339810403,,,18-24,unknown,video_view,7d_click,0.0
23849835339810403,,,18-24,unknown,video_view,value,0.0
23849835339810403,,,25-34,female,video_view,7d_click,0.0
23849835339810403,,,25-34,female,video_view,value,0.0
23849835339810403,,,25-34,male,video_view,7d_click,0.0
23849835339810403,,,25-34,male,video_view,value,0.0
23849835339810403,,,25-34,unknown,video_view,7d_click,0.0
23849835339810403,,,25-34,unknown,video_view,value,0.0
23849835339810403,,,35-44,female,video_view,7d_click,0.0
23849835339810403,,,35-44,female,video_view,value,0.0
23849835339810403,,,35-44,male,video_view,7d_click,0.0
23849835339810403,,,35-44,male,video_view,value,0.0
23849835339810403,,,35-44,unknown,video_view,7d_click,0.0
23849835339810403,,,35-44,unknown,video_view,value,0.0
23849835339810403,,,45-54,female,video_view,7d_click,0.0
23849835339810403,,,45-54,female,video_view,value,0.0
23849835339810403,,,45-54,male,video_view,7d_click,0.0
23849835339810403,,,45-54,male,video_view,value,0.0
23849835339810403,,,45-54,unknown,video_view,7d_click,0.0
23849835339810403,,,45-54,unknown,video_view,value,0.0
23849835339810403,,,55-64,female,video_view,7d_click,0.0
23849835339810403,,,55-64,female,video_view,value,0.0
23849835339810403,,,55-64,male,video_view,7d_click,0.0
23849835339810403,,,55-64,male,video_view,value,0.0
23849835339810403,,,55-64,unknown,video_view,7d_click,0.0
23849835339810403,,,55-64,unknown,video_view,value,0.0
23849835381430403,CONVERSIONS,audience_network,,,video_view,7d_click,0.0
23849835381430403,CONVERSIONS,audience_network,,,video_view,value,0.0
23849835381430403,CONVERSIONS,facebook,,,video_view,7d_click,0.0
23849835381430403,CONVERSIONS,facebook,,,video_view,value,0.0
23849835381430403,CONVERSIONS,instagram,,,video_view,7d_click,0.0
23849835381430403,CONVERSIONS,instagram,,,video_view,value,0.0
23849835381430403,,,18-24,female,video_view,7d_click,0.0
23849835381430403,,,18-24,female,video_view,value,0.0
23849835381430403,,,18-24,male,video_view,7d_click,0.0
23849835381430403,,,18-24,male,video_view,value,0.0
23849835381430403,,,18-24,unknown,video_view,7d_click,0.0
23849835381430403,,,18-24,unknown,video_view,value,0.0
23849835381430403,,,25-34,female,video_view,7d_click,0.0
23849835381430403,,,25-34,female,video_view,value,0.0
23849835381430403,,,25-34,male,video_view,7d_click,0.0
23849835381430403,,,25-34,male,video_view,value,0.0
23849835381430403,,,25-34,unknown,video_view,7d_click,0.0
23849835381430403,,,25-34,unknown,video_view,value,0.0
23849835381430403,,,35-44,female,video_view,7d_click,0.0
23849835381430403,,,35-44,female,video_view,value,0.0
23849835381430403,,,35-44,male,video_view,7d_click,0.0
23849835381430403,,,35-44,male,video_view,value,0.0
23849835381430403,,,35-44,unknown,video_view,7d_click,0.0
23849835381430403,,,35-44,unknown,video_view,value,0.0
23849835381430403,,,45-54,female,video_view,7d_click,0.0
23849835381430403,,,45-54,female,video_view,value,0.0
23849835381430403,,,45-54,male,video_view,7d_click,0.0
23849835381430403,,,45-54,male,video_view,value,0.0
23849835381430403,,,45-54,unknown,video_view,7d_click,0.0
23849835381430403,,,45-54,unknown,video_view,value,0.0
23849835381430403,,,55-64,female,video_view,7d_click,0.0
23849835381430403,,,55-64,female,video_view,value,0.0
23849835381430403,,,55-64,male,video_view,7d_click,0.0
23849835381430403,,,55-64,male,video_view,value,0.0
23849835381430403,,,55-64,unknown,video_view,7d_click,0.0
23849835381430403,,,55-64,unknown,video_view,value,0.0
23849835413720403,CONVERSIONS,audience_network,,,video_view,value,35.0
23849835413720403,CONVERSIONS,facebook,,,video_view,7d_click,16.0
23849835413720403,CONVERSIONS,facebook,,,video_view,value,3884.0
23849835413720403,CONVERSIONS,instagram,,,video_view,7d_click,1.0
23849835413720403,CONVERSIONS,instagram,,,video_view,value,1273.0
23849835413720403,,,18-24,female,video_view,value,19.0
23849835413720403,,,18-24,male,video_view,7d_click,1.0
