ad_id,objective,publisher_platform,age,gender,action_type,stat,amount
23849835339810403,CONVERSIONS,audience_network,,,video_view,7d_click,0.0
23849835339810403,CONVERSIONS,audience_network,,,video_view,value,0.0
23849835339810403,CONVERSIONS,facebook,,,video_view,7d_click,0.0
23849835339810403,CONVERSIONS,facebook,,,video_view,value,0.0
23849835339810403,CONVERSIONS,instagram,,,video_view,7d_click,0.0
23849835339810403,CONVERSIONS,instagram,,,video_view,value,0.0
23849835339810403,,,18-24,female,video_view,7d_click,0.0
23849835339810403,,,18-24,female,video_view,value,0.0
23849835339810403,,,18-24,male,video_view,7d_click,0.0
23849835339810403,,,18-24,male,video_view,value,0.0
23849835339810403,,,18-24,unknown,video_view,7d_click,0.0
23849835339810403,,,18-24,unknown,video_view,value,0.0
23849835339810403,,,25-34,female,video_view,7d_click,0.0
23849835339810403,,,25-34,female,video_view,value,0.0
23849835339810403,,,25-34,male,video_view,7d_click,0.0
23849835339810403,,,25-34,male,video_view,value,0.0
23849835339810403,,,25-34,unknown,video_view,7d_click,0.0
23849835339810403,,,25-34,unknown,video_view,value,0.0
23849835339810403,,,35-44,female,video_view,7d_click,0.0
23849835339810403,,,35-44,female,video_view,value,0.0
23849835339810403,,,35-44,male,video_view,7d_click,0.0
23849835339810403,,,35-44,male,video_view,value,0.0
23849835339810403,,,35-44,unknown,video_view,7d_click,0.0
23849835339810403,,,35-44,unknown,video_view,value,0.0
23849835339810403,,,45-54,female,video_view,7d_click,0.0
23849835339810403,,,45-54,female,video_view,value,0.0
23849835339810403,,,45-54,male,video_view,7d_click,0.0
23849835339810403,,,45-54,male,video_view,value,0.0
23849835339810403,,,45-54,unknown,video_view,7d_click,0.0
23849835339810403,,,45-54,unknown,video_view,value,0.0
23849835339810403,,,55-64,female,video_view,7d_click,0.0
23849835339810403,,,55-64,female,video_view,value,0.0
23849835339810403,,,55-64,male,video_view,7d_click,0.0
23849835339810403,,,55-64,male,video_view,value,0.0
23849835339810403,,,55-64,unknown,video_view,7d_click,0.0
23849835339810403,,,55-64,unknown,video_view,value,0.0
23849835381430403,CONVERSIONS,audience_network,,,video_view,7d_click,0.0
23849835381430403,CONVERSIONS,audience_network,,,video_view,value,0.0
23849835381430403,CONVERSIONS,facebook,,,video_view,7d_click,0.0
23849835381430403,CONVERSIONS,facebook,,,video_view,value,0.0
23849835381430403,CONVERSIONS,instagram,,,video_view,7d_click,0.0
23849835381430403,CONVERSIONS,instagram,,,video_view,value,0.0
23849835381430403,,,18-24,female,video_view,7d_click,0.0
23849835381430403,,,18-24,female,video_view,value,0.0
23849835381430403,,,18-24,male,video_view,7d_click,0.0
23849835381430403,,,18-24,male,video_view,value,0.0
23849835381430403,,,18-24,unknown,video_view,7d_click,0.0
23849835381430403,,,18-24,unknown,video_view,value,0.0
23849835381430403,,,25-34,female,video_view,7d_click,0.0
23849835381430403,,,25-34,female,video_view,value,0.0
23849835381430403,,,25-34,male,video_view,7d_click,0.0
23849835381430403,,,25-34,male,video_view,value,0.0
23849835381430403,,,25-34,unknown,video_view,7d_click,0.0
23849835381430403,,,25-34,unknown,video_view,value,0.0
23849835381430403,,,35-44,female,video_view,7d_click,0.0
23849835381430403,,,35-44,female,video_view,value,0.0
23849835381430403,,,35-44,male,video_view,7d_click,0.0
23849835381430403,,,35-44,male,video_view,value,0.0
23849835381430403,,,35-44,unknown,video_view,7d_click,0.0
23849835381430403,,,35-44,unknown,video_view,value,0.0
23849835381430403,,,45-54,female,video_view,7d_click,0.0
23849835381430403,,,45-54,female,video_view,value,0.0
23849835381430403,,,45-54,male,video_view,7d_click,0.0
23849835381430403,,,45-54,male,video_view,value,0.0
23849835381430403,,,45-54,unknown,video_view,7d_click,0.0
23849835381430403,,,45-54,unknown,video_view,value,0.0
23849835381430403,,,55-64,female,video_view,7d_click,0.0
23849835381430403,,,55-64,female,video_view,value,0.0
23849835381430403,,,55-64,male,video_view,7d_click,0.0
23849835381430403,,,55-64,male,video_view,value,0.0
23849835381430403,,,55-64,unknown,video_view,7d_click,0.0
23849835381430403,,,55-64,unknown,video_view,value,0.0
23849835413720403,CONVERSIONS,audience_network,,,video_view,value,34.0
23849835413720403,CONVERSIONS,facebook,,,video_view,value,17.0
23849835413720403,CONVERSIONS,instagram,,,video_view,value,15.0
23849835413720403,,,18-24,female,video_view,value,9.0
23849835413720403,,,18-24,male,video_view,value,4.0
23849835413720403,,,18-24,unknown,video_view,value,1.0
23849835413720403,,,25-34,female,video_view,value,4.0
23849835413720403,,,25-34,male,video_view,value,5.0
23849835413720403,,,25-34,unknown,video_view,value,2.0
23849835413720403,,,35-44,female,video_view,value,6.0
23849835413720403,,,35-44,male,video_view,value,6.0
23849835413720403,,,35-44,unknown,video_view,value,5.0
23849835413720403,,,45-54,female,video_view,value,7.0
23849835413720403,,,45-54,male,video_view,value,5.0
23849835413720403,,,45-54,unknown,video_view,value,22.0
23849835413720403,,,55-64,female,video_view,value,9.0
23849835413720403,,,55-64,male,video_view,value,7.0
23849835413720403,,,55-64,unknown,video_view,value,12.0
23853131832640403,OUTCOME_SALES,audience_network,,,video_view,value,15.0
23853131832640403,OUTCOME_SALES,facebook,,,video_view,value,10.0
23853131832640403,OUTCOME_SALES,instagram,,,video_view,value,13.0
23853131832640403,,,18-24,female,video_view,value,3.0
23853131832640403,,,25-34,female,video_view,value,10.0
23853131832640403,,,35-44,female,video_view,value,8.0
23853131832640403,,,45-54,female,video_view,value,8.0
23853131832640403,,,55-64,female,video_view,value,10.0
